TOPIC,THEORY_CARD
"Expressing duration with ""how long"" (Usage in questions and contexts)","📚 Theory Card: Expressing Duration with ""How Long"" (Usage in Questions and Contexts) 📚

Theory:

* Use ""how long"" to ask about the duration of an action or state.
	+ E.g. How long have you been studying English?
	+ E.g. How long will the project take?
* Use ""how long"" in questions to ask about the duration of an action or state in the past, present, or future.
	+ E.g. How long did you study English yesterday?
	+ E.g. How long will you study English tomorrow?
* Use ""for how long"" to ask about the duration of an action or state in the past or future.
	+ E.g. For how long have you been studying English?
	+ E.g. For how long will you study English tomorrow?
* Use ""how long ago"" to ask about the duration of an action or state in the past.
	+ E.g. How long ago did you start studying English?
	+ E.g. How long ago did you finish your project?
* Use ""how long will it take"" to ask about the duration of an action or state in the future.
	+ E.g. How long will it take to finish your project?
	+ E.g. How long will it take to learn English?

Examples:

📝 How long have you been studying English? (asking about the duration of an action in the past)
📝 How long will the project take? (asking about the duration of an action in the future)
📝 For how long have you been studying English? (asking about the duration of an action in the past)
📝 For how long will you study English tomorrow? (asking about the duration of an action in the future)
📝 How long ago did you start studying English? (asking about the duration of an action in the past)
📝 How long will it take to finish your project? (asking about the duration of an action in the future)

I hope this theory card helps you understand how to use ""how long"" in questions and contexts! 😊"
"Using ""for"" and ""since"" with Present Perfect (Duration and starting point)","Theory Card: Using ""for"" and ""since"" with Present Perfect (Duration and starting point).

Theory:

* ""For"" and ""since"" can be used with the Present Perfect tense to describe durations and starting points.
* ""For"" is used to describe a duration that started in the past and continues up to the present.
	+ Examples:
		- I have been studying English for three years. (duration started in the past and continues up to the present)
		- She has been working at this company for three months. (duration started in the past and continues up to the present)
* ""Since"" is used to describe a starting point in the past and a duration that continues up to the present.
	+ Examples:
		- I have been living in London since January. (starting point in the past and duration continues up to the present)
		- They have been married since 2005. (starting point in the past and duration continues up to the present)

Examples:

📝 I have been studying English since I was a teenager. (starting point in the past and duration continues up to the present)
📝 She has been working at this company since last year. (starting point in the past and duration continues up to the present)
📝 They have been living in Paris for three months. (duration started in the past and continues up to the present)
📝 I have been waiting for two hours. (duration started in the past and continues up to the present)"
Comparing Present Perfect and Past Simple 1 (Differences in usage based on time relevance),"📚 Theory Card: Comparing Present Perfect and Past Simple 1 (Differences in usage based on time relevance) 📚

Theory:

🔹 The Present Perfect tense is used to describe an action that started in the past and continues up to the present moment.

🔹 The Past Simple tense is used to describe a completed action in the past.

🔹 The main difference between the two tenses is their time relevance. The Present Perfect is used when the action is still relevant to the present, while the Past Simple is used when the action is completed and no longer relevant to the present.

Examples:

🔹 Present Perfect:

👉 I have been studying English for three years. (The action started in the past and continues up to the present.)

👉 She has just finished her homework. (The action started recently and is still ongoing.)

👉 They have been on vacation for two weeks. (The action started in the past and is still ongoing.)

🔹 Past Simple:

👉 I studied English for three years. (The action is completed and no longer relevant to the present.)

👉 She finished her homework. (The action is completed and no longer relevant to the present.)

👉 They went on vacation for two weeks. (The action is completed and no longer relevant to the present.)

Remember, the Present Perfect is used to describe actions that started in the past and continue up to the present, while the Past Simple is used to describe completed actions in the past that are no longer relevant to the present. 📚"
Comparing Present Perfect and Past Simple 2 (More complex comparisons),"📚 Theory Card: Comparing Present Perfect and Past Simple 2 (More complex comparisons) 📚

Theory:

The Present Perfect and Past Simple tenses are both used to talk about past events, but they have some key differences in their usage and meaning. Here are some more complex comparisons between the two tenses:

🔹 Use the Present Perfect when the action started in the past and continues up to the present:

* I have been studying English for three years, and I still have a lot to learn.
* She has just finished her homework, but she needs to review it before submitting it.

🔹 Use the Past Simple when the action started and finished in the past:

* I went to the store and bought some milk.
* She finished her project last night.

🔹 Use the Present Perfect when the action started in the past and has a connection to the present:

* I have been working on this project for months, and I'm finally making some progress.
* She has been studying for her exam all day, and she's feeling confident.

🔹 Use the Past Simple when the action started and finished in the past, and there is no connection to the present:

* I went to the beach last weekend.
* She finished her internship last month.

Examples:

📝 Present Perfect:

* I have been learning how to play the guitar for a year now, and I can finally play some simple songs.
* She has been studying abroad for six months, and she's gained a lot of new experiences.

📝 Past Simple:

* I went to the park and played with my dog.
* She finished her homework and watched a movie.

Remember, the Present Perfect is used to talk about actions that started in the past and continue up to the present, while the Past Simple is used to talk about actions that started and finished in the past. 📚"
Past Perfect (I had done),"📚 Theory Card: Past Perfect (I had done)

Theory:

🔹 The Past Perfect tense is used to describe an action that had been completed before another action in the past.

🔹 It is formed using the past simple of ""have"" + the past participle of the main verb.

🔹 The Past Perfect is used to show that one event had happened before another event in the past.

Examples:

📝 I had finished my homework before I went to bed.

📝 She had eaten dinner before she watched TV.

📝 They had not arrived before the party started.

📝 I had not studied before the exam, so I did not do well.

📝 By the time I arrived, they had already finished their lunch.

📝 If I had known about the party, I would have attended.

📝 She had not slept well before the interview, so she was tired.

📝 They had not planned their trip well, so they had many problems.

📝 I had not seen that movie before, so I did not understand the reference.

📝 She had not finished her project before the deadline, so she had to work late.

📝 They had not received the package before they left, so they had to wait for it."
Past Perfect Continuous (I had been doing),"📚 Theory Card: Past Perfect Continuous (I had been doing) 📚

Theory:

* The Past Perfect Continuous tense is used to describe an action that had been in progress for some time before another action in the past.
	+ It is formed using the past perfect form of ""have"" (had been) + the present participle of the main verb.
	+ It is used to show that one event started and finished before another event in the past.
	+ It can also be used to show that an action was in progress for some time before another action in the past, but not necessarily finished.

Examples:

📝 I had been studying for three hours before I took a break.
📝 She had been working on the project for two weeks before the deadline.
📝 They had been waiting for two hours before the concert started.

🔵 Note: The Past Perfect Continuous tense is often used with the word ""since"" to show the starting point of an action in the past.

I hope this theory card helps you understand the Past Perfect Continuous tense better! 😊"
"Differentiating ""have"" and ""have got"" (Usage in possession, relationships, and obligations)","📚 Theory Card: Differentiating ""have"" and ""have got"" (Usage in possession, relationships, and obligations) 🔍

Theory:

🔎 Have and have got are both used to express possession or ownership, but they have some key differences in their usage and connotations.

🔝 Have is a more general term that implies possession or ownership without any specific implications. It is often used to describe a permanent or long-term relationship with an object or a person.

💕 Have got, on the other hand, implies a more temporary or specific relationship, often with a sense of possession or control. It is often used to describe a more casual or recent acquisition.

🤝 Have can also be used to describe a relationship or an obligation, while have got is more commonly used to describe a physical object or a possession.

Examples:

📚 I have a book. (permanent possession)

📝 I have got a pen. (temporary possession)

👫 I have a friend who speaks French. (relationship)

📝 I have got a meeting at 2 PM. (obligation)

🔑 Note that have got is often used in informal contexts, while have is more formal and widely accepted in all contexts.

👍 I hope this helps you differentiate between have and have got in your English language learning journey! 😊"
"Usage of ""used to"" (Describing past habits and states no longer true)","📚 Theory Card: Usage of ""used to"" (Describing past habits and states no longer true)

Theory:

* ""Used to"" is used to describe past habits and states that are no longer true.
* It is often used to talk about things that happened regularly in the past, but do not happen anymore.
* ""Used to"" can also be used to describe past states that were true for a period of time, but are no longer true.

Examples:

🏃‍♀️ I used to go to the gym every day, but I don't do that anymore.

📚 She used to study English every evening, but now she only studies on weekends.

🍽️ They used to eat meat, but now they are vegetarians.

🌞 I used to live in a cold climate, but now I live in a warm place.

📚 Note: ""Used to"" can also be used to describe past habits and states that were true for a specific period of time, but are no longer true. For example: ""I used to work at that company from 2010 to 2015."""
Using Present Tenses for Future (I am doing / I do),"Theory Card: Using Present Tenses for Future (I am doing / I do).

Theory:

* Present tense can be used to describe future actions or events.
	+ This is known as the ""present for the future"" or ""present prolepsis.""
	+ It is commonly used to talk about plans, schedules, or predictions.
* The present tense is used to emphasize the certainty or predictability of the future event.
	+ For example, ""I am going to the movies tonight"" (the speaker is certain about their plans).
	+ For example, ""I do exercise every morning"" (the speaker has a regular routine).

Examples:

🎬 I am seeing a movie tonight at 8 PM.
🏋️‍♀️ I do yoga every morning at 6 AM.
📝 I am meeting my friend for lunch at 12 PM.
📚 I do my homework every day before bed.

Note: The present tense can also be used to describe hypothetical or uncertain future events, but in this case, it is not as common."
"Forming Future with ""going to"" (I’m going to do)","📚 Theory Card: Forming Future with ""going to"" (I’m going to do) 📚

Theory:

* ""Going to"" is used to form the future tense in English.
* It is used to talk about plans, intentions, or predictions for the future.
* The structure of ""going to"" is: ""I/we/they are going to + verb.""

Examples:

🌞 I'm going to the beach tomorrow. (plan)
🤔 She's going to study for her exam tonight. (intention)
💡 They're going to launch a new product next month. (prediction)

🔥 Note: ""Going to"" can also be used to express a strong intention or prediction, as in: ""I'm going to eat a pizza tonight"" (I have a strong intention to eat a pizza tonight).

👍 Do you have any other questions about forming the future with ""going to""? 🤔"
"Introduction to ""will"" and ""shall"" 1 (Simple future intentions and promises)","📚 Theory Card: Introduction to ""will"" and ""shall"" 1 (Simple future intentions and promises) 📚

Theory:

* ""Will"" and ""shall"" are both used to express future intentions and promises, but they have slightly different connotations and uses.
* ""Will"" is more informal and is used to express a spontaneous decision or a future plan that is not yet finalized.
	+ E.g. ""I will go to the store later.""
	+ E.g. ""I will try to finish the project by tomorrow.""
* ""Shall"" is more formal and is used to express a future action that is already planned or arranged.
	+ E.g. ""I shall attend the meeting at 2 PM.""
	+ E.g. ""I shall finish the report by the end of the week.""

Examples:

📝 ""I will go to the beach this weekend."" (informal, spontaneous decision)
📝 ""I shall attend the conference next month."" (formal, planned action)

🤔 Note: ""Will"" is also used to express future predictions or expectations, while ""shall"" is used to express future obligations or promises.

📚 Theory Card: Introduction to ""will"" and ""shall"" 1 (Simple future intentions and promises). 📚"
"Advanced ""will"" and ""shall"" 2 (Subtleties and formal uses)","📚 Theory Card: Advanced ""will"" and ""shall"" 2 (Subtleties and formal uses) 📝

Theory:

* ""Will"" and ""shall"" are both used to express future actions, but they have some subtle differences in their meanings and uses.
	+ ""Will"" is more commonly used for spontaneous decisions or actions that are not yet planned or arranged.
		- ""I will go to the store later.""
		- ""I will call you back later.""
	+ ""Shall"" is more commonly used for future actions that are planned or arranged in advance.
		- ""I shall attend the meeting tomorrow.""
		- ""I shall finish the report by the end of the week.""
	+ ""Shall"" is also used for making offers or giving promises.
		- ""I shall make sure to be there on time.""
		- ""I shall help you with your project.""
	+ ""Will"" can also be used for making offers or giving promises, but it is less formal and more commonly used in informal contexts.

Examples:

📝 ""I will meet you at the park at 3pm."" (spontaneous decision)
📝 ""I shall attend the conference next month."" (planned action)
📝 ""I will help you move this weekend."" (offer)
📝 ""I shall finish the project by the end of the year."" (promise)

Note: The use of ""will"" and ""shall"" can vary depending on the context and the speaker's preference. It's important to understand the subtle differences between the two verbs to communicate effectively and avoid confusion."
"Deciding Between ""will"" and ""going to"" (Predictions vs. plans)","📚 Theory Card: Deciding Between ""will"" and ""going to"" (Predictions vs. plans) 📚

Theory:

🔹 ""will"" is used for spontaneous decisions or changes in plans.
🔹 ""going to"" is used for planned actions or predictions.

Examples:

🔹 ""I will go to the store later"" (spontaneous decision)
🔹 ""I am going to the store tomorrow"" (planned action)

🔹 ""I will study for the exam tonight"" (spontaneous decision)
🔹 ""I am going to study for the exam tomorrow night"" (planned action)

🔹 ""I will eat a sandwich for lunch"" (spontaneous decision)
🔹 ""I am going to eat a salad for lunch tomorrow"" (planned action)

🔹 ""I will watch a movie tonight"" (spontaneous decision)
🔹 ""I am going to watch a movie tomorrow night"" (planned action)

🔹 ""I will take a vacation next month"" (spontaneous decision)
🔹 ""I am going to take a vacation next month"" (planned action)

🔹 ""I will attend the meeting tomorrow"" (spontaneous decision)
🔹 ""I am going to attend the meeting tomorrow"" (planned action)

🔹 ""I will buy a new phone next week"" (spontaneous decision)
🔹 ""I am going to buy a new phone next week"" (planned action)

🔹 ""I will visit my family next year"" (spontaneous decision)
🔹 ""I am going to visit my family next year"" (planned action)

🔹 ""I will retire in five years"" (spontaneous decision)
🔹 ""I am going to retire in five years"" (planned action)

🔹 ""I will travel to Europe next summer"" (spontaneous decision)
🔹 ""I am going to travel to Europe next summer"" (planned action)

🔹 ""I will buy a new car next month"" (spontaneous decision)
🔹 ""I am going to buy a new car next month"" (planned action)

🔹 ""I will start a new business next year"" (spontaneous decision)
🔹 ""I am going to start a new business next year"" (planned action)

🔹 ""I will get married next month"" (spontaneous decision)
🔹 ""I am going to get married next month"" (planned action)

🔹 ""I will have a party next weekend"" (spontaneous decision)
🔹 ""I am going to have a party next weekend"" (planned action)

🔹 ""I will go to the gym tomorrow"" (spontaneous decision)
🔹 ""I am going to the gym tomorrow"" (planned action)

🔹 ""I will take a break from work next week"" (spontaneous decision)
🔹 ""I am going to take a break from work next week"" (planned action)

🔹 ""I will learn a new language next year"" (spontaneous decision)
🔹 ""I am going to learn a new language next year"" (planned action)

🔹 ""I will buy a new house next month"" (spontaneous decision)
🔹 ""I am going to buy a new house next month"" (planned action)

🔹 ""I will start a new project next week"" (spontaneous decision)
🔹 ""I am going to start a new project next week"" (planned action)

🔹 ""I will go on a diet next month"" (spontaneous decision)
🔹 ""I am going to go on a diet next month"" (planned action)

🔹 ""I will take a vacation next year"" (spontaneous decision)
🔹 ""I am going to take a vacation next year"" (planned action)���"
Future Continuous and Perfect (will be doing / will have done),"📚 Theory Card: Future Continuous and Perfect (will be doing / will have done) 📚

Theory:

The Future Continuous and Perfect tenses are used to describe actions that will be in progress at a specific point in the future, or actions that will have been completed at a specific point in the future.

* The Future Continuous tense is used to describe an action that will be in progress at a specific point in the future.
	+ Examples:
		- I will be studying for my exam at 5 pm tomorrow.
		- She will be working on her project all day on Saturday.
	+ Emojis: 📚🕒💻
* The Future Perfect tense is used to describe an action that will have been completed at a specific point in the future.
	+ Examples:
		- I will have finished my homework by tomorrow.
		- She will have learned all the vocabulary by the end of the week.
	+ Emojis: 📚📝🔥

Examples:

* I will be studying for my exam at 5 pm tomorrow 📚🕒💻
* She will be working on her project all day on Saturday 📚🕒💻
* I will have finished my homework by tomorrow 📚📝🔥
* She will have learned all the vocabulary by the end of the week 📚📝🔥"
"Conditionals and Time Clauses with ""when"" (I do / I’ve done)","📚 Theory Card: Conditionals and Time Clauses with ""when"" (I do / I’ve done) 📚

Theory:

🔹 Conditionals are used to talk about hypothetical situations and their consequences.

🔹 Time clauses are used to talk about specific points in time or general periods of time.

🔹 When is used to introduce a condition or time clause.

🔹 There are three main conditionals: Zero, First, and Second.

🔹 The Zero Conditional is used to talk about things that are always true or universal truths.

🔹 The First Conditional is used to talk about things that are likely to happen in the future.

🔹 The Second Conditional is used to talk about things that are unlikely to happen in the future.

Examples:

🔹 If I won the lottery, I would buy a house. (Zero Conditional)

🔹 If I studied harder, I would pass the exam. (First Conditional)

🔹 If I had more money, I would travel around the world. (Second Conditional)

🔹 When I have more time, I will finish this project. (Time Clause)

🔹 When I was younger, I used to play soccer. (Time Clause)

🔹 When I will retire, I will spend more time with my family. (Time Clause)

I hope this theory card helps you understand the basics of conditionals and time clauses with ""when""! 😊"
"Basics of ""can"", ""could"" and ""be able to"" (Ability and possibility)","📚 Theory Card: Basics of ""can"", ""could"" and ""be able to"" (Ability and Possibility) 📚

Theory:

🔹 ""Can"" is used to express ability or capacity to do something.

🔹 ""Could"" is used to express possibility or potential.

🔹 ""Be able to"" is used to express the ability to do something.

Examples:

🔹 ""I can speak English fluently."" (ability)

🔹 ""She could sing beautifully when she was younger."" (potential)

🔹 ""He is able to solve complex problems."" (ability)

🔹 ""They could not attend the party due to unforeseen circumstances."" (possibility)

🔹 ""I will be able to finish the project by the end of the week."" (future ability)

🔹 ""She may be able to help you with your homework."" (possibility)

🔹 ""They could not resist the temptation of trying the new restaurant."" (potential)

🔹 ""I am able to speak three languages."" (ability)

🔹 ""He could not make it to the meeting due to a last-minute emergency."" (possibility)

🔹 ""They will be able to enjoy the concert tonight."" (future possibility)

🔹 ""I could not believe my eyes when I saw the surprise party."" (potential)

🔹 ""She is able to play the piano beautifully."" (ability)

🔹 ""They could not afford the expensive gift."" (possibility)

🔹 ""I will be able to go on vacation next month."" (future possibility)

🔹 ""He could not attend the wedding due to a scheduling conflict."" (potential)

🔹 ""They are able to speak three languages fluently."" (ability)

🔹 ""I could not resist the temptation of buying the new iPhone."" (potential)

🔹 ""She will be able to graduate at the top of her class."" (future ability)

🔹 ""They could not find a parking spot."" (possibility)

🔹 ""I am able to lift heavy weights."" (ability)

🔹 ""He could not make it to the party due to a last-minute illness."" (possibility)

🔹 ""They will be able to enjoy the sunset on the beach tonight."" (future possibility)

🔹 ""I could not believe my ears when I heard the news."" (potential)

🔹 ""She is able to run a mile in under five minutes."" (ability)

🔹 ""They could not afford the expensive restaurant."" (possibility)

🔹 ""I will be able to go on a vacation next year."" (future possibility)

🔹 ""He could not attend the meeting due to a scheduling conflict."" (potential)

🔹 ""They are able to speak English fluently."" (ability)

🔹 ""I could not resist the temptation of trying the new restaurant."" (potential)

🔹 ""She will be able to graduate with honors."" (future ability)

🔹 ""They could not find a suitable solution."" (possibility)

🔹 ""I am able to solve complex problems."" (ability)

🔹 ""He could not make it to the party due to a last-minute emergency."" (possibility)

🔹 ""They will be able to enjoy the concert tonight."" (future possibility)

🔹 ""I could not believe my eyes when I saw the surprise party."" (potential)

🔹 ""She is able to play the piano beautifully."" (ability)

🔹 ""They could not afford the expensive gift."" (possibility)

🔹 ""I will be able to go on vacation next month."" (future possibility)

🔹 ""He could not attend the wedding due to a scheduling conflict."" (potential)

🔹 ""They are able to speak three languages fluently"
